,Network,maze_1,maze_2,std,mean,error
0,classification-alexnet-pretrained-0.pkl,460,783,228.39549032325485,621.5,316.53999999999996
1,classification-alexnet-pretrained-1.pkl,562,936,264.45793616376875,749.0,366.52
2,classification-alexnet-pretrained-2.pkl,324,783,324.5620125646253,553.5,449.81999999999994
3,classification-alexnet-pretrained-3.pkl,460,800,240.41630560342617,630.0,333.2
4,classification-densenet121-notpretrained-0.pkl,664,460,144.2497833620557,562.0,199.91999999999996
5,classification-densenet121-notpretrained-1.pkl,460,477,12.020815280171307,468.5,16.659999999999997
6,classification-densenet121-notpretrained-2.pkl,460,783,228.39549032325485,621.5,316.53999999999996
7,classification-densenet121-notpretrained-3.pkl,647,817,120.20815280171308,732.0,166.6
8,classification-densenet121-pretrained-0.pkl,647,859,149.90663761154806,753.0,207.75999999999996
9,classification-densenet121-pretrained-1.pkl,647,494,108.18733752154178,570.5,149.94
10,classification-densenet121-pretrained-2.pkl,953,494,324.5620125646253,723.5,449.81999999999994
11,classification-densenet121-pretrained-3.pkl,664,820,110.30865786510141,742.0,152.87999999999997
12,classification-densenet201-pretrained-0.pkl,681,838,111.01576464628796,759.5,153.85999999999999
13,classification-densenet201-pretrained-1.pkl,1291,818,334.46150750123695,1054.5,463.5399999999999
14,classification-densenet201-pretrained-2.pkl,477,815,239.00209204105306,646.0,331.23999999999995
15,classification-densenet201-pretrained-3.pkl,494,838,243.24473272817235,666.0,337.12
16,classification-resnet18-notpretrained-0.pkl,477,528,36.062445840513924,502.5,49.97999999999999
17,classification-resnet18-notpretrained-1.pkl,290,50,169.7056274847714,170.0,235.2
18,classification-resnet18-notpretrained-2.pkl,290,50,169.7056274847714,170.0,235.2
19,classification-resnet18-notpretrained-3.pkl,460,392,48.08326112068523,426.0,66.63999999999999
20,classification-resnet18-pretrained-0.pkl,647,698,36.062445840513924,672.5,49.97999999999999
21,classification-resnet18-pretrained-1.pkl,477,784,217.08178182427008,630.5,300.85999999999996
22,classification-resnet18-pretrained-2.pkl,290,802,362.03867196751236,546.0,501.75999999999993
23,classification-resnet18-pretrained-3.pkl,477,814,238.2949852598665,645.5,330.25999999999993
24,classification-resnet50-notpretrained-0.pkl,460,494,24.041630560342615,477.0,33.31999999999999
25,classification-resnet50-notpretrained-1.pkl,460,477,12.020815280171307,468.5,16.659999999999997
26,classification-resnet50-notpretrained-2.pkl,460,460,0.0,460.0,0.0
27,classification-resnet50-notpretrained-3.pkl,460,460,0.0,460.0,0.0
28,classification-resnet50-pretrained-0.pkl,460,804,243.24473272817235,632.0,337.12
29,classification-resnet50-pretrained-1.pkl,885,732,108.18733752154178,808.5,149.94
30,classification-resnet50-pretrained-2.pkl,477,773,209.30360723121808,625.0,290.08
31,classification-resnet50-pretrained-3.pkl,477,824,245.36605307173198,650.5,340.05999999999995
32,classification-squeezenet1_1-notpretrained-0.pkl,664,749,60.10407640085654,706.5,83.3
33,classification-squeezenet1_1-notpretrained-1.pkl,664,477,132.22896808188437,570.5,183.26
34,classification-squeezenet1_1-notpretrained-2.pkl,460,749,204.35385976291224,604.5,283.21999999999997
35,classification-squeezenet1_1-notpretrained-3.pkl,1349,909,311.1269837220809,1129.0,431.2
36,classification-squeezenet1_1-pretrained-0.pkl,851,358,348.6036431249679,604.5,483.13999999999993
37,classification-squeezenet1_1-pretrained-1.pkl,511,868,252.43712088359746,689.5,349.85999999999996
38,classification-squeezenet1_1-pretrained-2.pkl,460,782,227.6883835420683,621.0,315.55999999999995
39,classification-squeezenet1_1-pretrained-3.pkl,494,785,205.76807332528534,639.5,285.18
40,classification-vgg11_bn-notpretrained-0.pkl,460,749,204.35385976291224,604.5,283.21999999999997
41,classification-vgg11_bn-notpretrained-1.pkl,460,477,12.020815280171307,468.5,16.659999999999997
42,classification-vgg11_bn-notpretrained-2.pkl,460,477,12.020815280171307,468.5,16.659999999999997
43,classification-vgg11_bn-pretrained-0.pkl,477,494,12.020815280171307,485.5,16.659999999999997
44,classification-vgg11_bn-pretrained-1.pkl,647,816,119.50104602052653,731.5,165.61999999999998
45,classification-vgg11_bn-pretrained-2.pkl,1287,807,339.4112549695428,1047.0,470.4
46,classification-vgg11_bn-pretrained-3.pkl,868,904,25.45584412271571,886.0,35.279999999999994
47,classification-vgg19_bn-pretrained-0.pkl,749,805,39.59797974644666,777.0,54.879999999999995
48,classification-vgg19_bn-pretrained-1.pkl,647,808,113.84419177103415,727.5,157.77999999999997
49,classification-vgg19_bn-pretrained-2.pkl,851,511,240.41630560342617,681.0,333.2
50,classification-vgg19_bn-pretrained-3.pkl,800,511,204.35385976291224,655.5,283.21999999999997
51,classification-xresnet18-notpretrained-0.pkl,494,477,12.020815280171307,485.5,16.659999999999997
52,classification-xresnet18-notpretrained-1.pkl,460,579,84.14570696119915,519.5,116.61999999999999
53,classification-xresnet18-notpretrained-2.pkl,477,828,248.19448019647817,652.5,343.97999999999996
54,classification-xresnet18-notpretrained-3.pkl,1055,766,204.35385976291224,910.5,283.21999999999997
55,classification-xresnet18-pretrained-0.pkl,494,811,224.15284963613556,652.5,310.65999999999997
56,classification-xresnet18-pretrained-1.pkl,494,460,24.041630560342615,477.0,33.31999999999999
57,classification-xresnet18-pretrained-2.pkl,511,732,156.27059864222701,621.5,216.57999999999998
58,classification-xresnet18-pretrained-3.pkl,460,749,204.35385976291224,604.5,283.21999999999997
